#ZVView-data-copy:  14-May-2017 02:34:51
#=======================================
#
#name:   22-TI-46(N,P)21-SC-46,,SIG
#X.axis: Incident Energy
#Y.axis: Cross Section
#wdata:  4
#ldata:  119
#data...
#            X         +-dX            Y         +-dY  # Comments...
#          MeV          MeV        barns        barns  # Year,Author(s)           ## EXFOR-ID
         14.11            0         0.31        0.033  # 1982,M.Viennot+          ## 30644002
         14.11         0.13        0.302        0.033  # 1991,M.Viennot+          ## 30978017
          14.3            0        0.306        0.037  # 1982,M.Viennot+          ## 30644002
          14.3         0.14        0.298        0.034  # 1991,M.Viennot+          ## 30978017
         14.42         0.13        0.295        0.021  # 1965,H.Liskien+          ## 20926002
         14.42            0         0.24        0.012  # 1988,Y.Ikeda+            ## 22089026
         14.47            0        0.242        0.033  # 1982,M.Viennot+          ## 30644002
          14.5            0        0.268         0.03  # 1963,W.G.Cross+          ## 11631002
         14.58        0.105       0.2847        0.014  # 1989,Lu Han-Lin+         ## 30523004
          14.6            0         0.23         0.05  # 1979,K.Kayashima+        ## 21300002
         14.61         0.13        0.293        0.021  # 1965,H.Liskien+          ## 20926002
         14.65            0        0.234        0.013  # 1988,Y.Ikeda+            ## 22089026
          14.7         0.35        0.324       0.0972  # 1964,D.R.Koehler+        ## 11633002
          14.7            0        0.261        0.027  # 1996,K.T.Osman+          ## 31464005
          14.7            0        0.264        0.027  # 1996,K.T.Osman+          ## 31464005
         14.73            0        0.306        0.034  # 1982,M.Viennot+          ## 30644002
         14.73         0.23        0.298        0.034  # 1991,M.Viennot+          ## 30978017
          14.8         0.45         0.52            0  # 1959,A.Poularikas+       ## 11484004
          14.8         0.05        0.253        0.024  # 1966,H.L.Pai             ## 11630002
          14.8        0.125       0.2667    0.0085344  # 1983,I.Ribansky+         ## 30660002
          14.8         0.17       0.2262       0.0224  # 1986,N.I.Molla+          ## 30825003
          14.8            0         0.23         0.05  # 1970,V.N.Levkovskii+     ## 40226002
         14.83            0        0.275        0.039  # 1982,M.Viennot+          ## 30644002
         14.83         0.25        0.267        0.039  # 1991,M.Viennot+          ## 30978017
         14.91            0         0.21        0.014  # 1988,Y.Ikeda+            ## 22089026
         14.99        0.135        0.285         0.02  # 1965,H.Liskien+          ## 20926002
            15         0.15        0.247         0.03  # 1965,M.Bormann+          ## 20887010
         15.18         0.13         0.29         0.02  # 1965,H.Liskien+          ## 20926002
         15.55         0.12        0.289         0.02  # 1965,H.Liskien+          ## 20926002
         15.71        0.115        0.284         0.02  # 1965,H.Liskien+          ## 20926002
            16         0.25        0.207        0.019  # 1966,H.L.Pai             ## 11630002
            16         0.15        0.234        0.028  # 1965,M.Bormann+          ## 20887010
         16.03        0.105        0.288         0.02  # 1965,H.Liskien+          ## 20926002
         16.05        0.215       0.2839       0.0171  # 1989,Lu Han-Lin+         ## 30523004
         16.31        0.095        0.285         0.02  # 1965,H.Liskien+          ## 20926002
         16.52        0.095        0.296         0.02  # 1965,H.Liskien+          ## 20926002
            17         0.15        0.222        0.027  # 1965,M.Bormann+          ## 20887010
         17.18         0.19       0.2713       0.0163  # 1989,Lu Han-Lin+         ## 30523004
          17.3         0.35        0.202        0.018  # 1966,H.L.Pai             ## 11630002
         17.97        0.135       0.2927       0.0177  # 1989,Lu Han-Lin+         ## 30523004
          19.5          0.1        0.167        0.028  # 1966,H.L.Pai             ## 11630002
//
#-------------------------------------------------------------------------------
